node1,node2
4793,5966
4793,55662
4335,6945
4147,84861
414301,6248
414301,55031
4133,5577
4133,5576
4133,5568
4133,5567
4133,5566
4129,491
4123,6622
4319,7076
4247,5824
4116,9939
4116,84305
51490,6122
51077,8575
51077,6838
51077,6135
51077,6130
5747,9532
5747,9404
55297,80007
51735,9546
4650,8893
4650,51150
4650,50674
440275,5501
7381,80142
7381,7386
7337,83648
4115,6093
4097,571
409,9221
4089,89884
4089,6498
4089,6497
5422,689
4081,5089
4081,4212
408,9221
408,6295
4076,9908
4068,60491
4063,80267
4862,9575
4862,85457
4862,56938
406,9575
406,4862
79971,89780
6493,9915
4038,9510
4038,91833
4038,7625
4038,7408
4038,57730
5523,8994
401548,8723
79172,79682
401474,91978
401285,6953
401145,81565
401145,54820
5438,81488
5438,58490
5438,55011
5438,5441
55172,90025
4001,5147
399664,84962
5584,84612
5584,84078
5584,5590
3992,55666
3985,729238
3984,83752
3981,7518
4363,6869
9351,958
928,93185
5754,9450
51172,976
4854,91526
4854,55662
4851,91526
58191,79695
58191,6505
3945,3948
3939,3948
3936,5358
3933,56937
64750,92935
3916,8324
3916,3956
391004,9049
391004,8453
391004,55626
389856,56970
389337,55909
388965,65991
388962,80233
388743,831
388743,823
388677,9747
388677,60491
5983,79075
5983,5985
5983,5984
387914,80142
387882,9094
387680,832
387680,830
387680,51019
387496,9828
387104,5529
387032,80317
387032,51282
9592,9923
6047,92667
83640,8731
3835,64786
3835,3839
57176,7371
57697,91442
3785,51280
378,381
377,381
376267,5910
375323,5877
375323,51
375323,506
375298,8668
375298,5494
375,381
374897,83608
374666,832
374666,830
374666,51019
374395,51092
374395,3958
79133,84861
5498,765
5498,7386
5498,54988
4723,54539
4723,4731
4723,4726
4723,4725
4719,79927
4719,54539
4719,4731
4719,4726
4719,4725
4705,92369
4705,54539
4705,4731
4705,4726
4705,4718
4705,4709
4701,84277
4701,55967
4701,54539
4701,51079
4701,4731
4701,4729
4701,4728
4701,4726
4701,4725
4701,4724
4701,4723
4701,4722
4701,4720
4701,4719
4701,4718
4701,4716
4701,4715
4701,4714
4701,4713
4701,4712
4701,4711
4701,4710
4701,4709
4701,4707
4701,4706
4701,4705
4701,4704
4701,4702
4694,55967
4694,54539
4694,4731
4694,4729
4694,4728
4694,4726
4694,4724
4694,4723
4694,4722
4694,4720
4694,4719
4694,4718
4694,4716
4694,4715
4694,4714
4694,4713
4694,4712
4694,4711
4694,4710
4694,4709
4694,4707
4694,4706
4694,4705
4694,4704
4694,4702
4694,4701
4694,4700
4694,4696
4694,4695
8514,9196
7375,9958
7375,8237
7375,79991
4925,7136
57226,84861
5493,8924
5493,84461
3699,7130
3696,79070
3696,64788
51361,8061
51361,64400
51074,81628
51074,79763
3675,79630
3675,3964
3675,3956
3672,3956
3660,54906
84191,9391
8662,8668
8662,8666
8662,8665
8662,8664
8662,8663
50484,6241
3632,91433
3632,5876
3631,55916
57597,90316
57597,8819
57597,5931
57597,58516
3619,9212
3619,6795
79968,817
79968,8139
55742,6251
3609,80742
3604,8744
3604,57130
360023,6137
6772,6774
6772,6773
79465,944
79465,90273
55830,976
55830,90273
5008,708
5008,63893
5008,55322
3561,92840
3558,3605
84617,91875
54575,54577
354,445571
353345,90522
353345,80727
352909,80320
54455,9364
54455,8454
54455,8030
54455,6500
3516,54455
3508,7936
3508,7469
349667,3958
3491,9510
7507,8924
7507,84461
348793,55316
8707,91304
348094,55662
728932,9725
51666,55662
347517,5536
347517,51560
53834,944
53834,6383
5862,84932
346653,84932
346653,5862
81833,9019
81833,8729
6376,84669
6376,6574
3458,60
3458,3459
6499,84709
6499,80349
6499,682
3455,9124
345456,70
345456,60
345456,59
345456,345651
344387,8814
344018,6938
344018,6929
3440,9636
3439,9636
3439,3448
3439,3443
3439,3441
3434,3448
442247,7748
442247,55626
442247,54468
342931,442247
342667,6642
342538,91408
342538,689
9573,9818
3418,56888
642968,9043
4000,84823
4000,55311
4000,5147
4000,4001
339967,54968
339745,9454
339745,8405
339457,9094
644,7094
51678,978
51678,64130
51678,55327
339302,59
339231,5910
51303,57120
54957,9129
338657,54957
5046,84866
5046,84569
3382,9463
6830,8409
6830,8358
6830,81488
6830,7411
3737,8514
3737,3738
5884,5985
5884,5984
3340,8509
51106,6122
51106,51649
390916,7386
387338,84078
387338,6137
387338,57109
387338,56934
332,55143
57680,64376
8650,9253
81544,93185
8027,9146
80199,8266
79363,80199
6241,996
54923,84231
54870,6396
4641,84085
4641,55898
4154,9532
349565,9653
8509,9348
84695,9349
84695,90353
80761,84908
79616,89970
7180,79937
56140,9349
56140,84978
56140,83752
56140,56146
56140,56141
56139,9349
5176,83746
51617,81533
433,81562
433,6646
433,57515
433,54867
4241,8318
4241,80746
4241,79699
4241,7277
4049,91369
3814,84861
3814,57176
3814,55295
374739,9361
342898,9049
53632,5565
53632,5564
53632,5563
53632,5562
405,6493
405,4861
3305,84968
3305,54905
57447,9529
54905,9531
54905,573
5476,9587
5476,94097
5476,8270
3298,9532
3298,3312
3294,51614
3294,51290
4055,7187
4055,7186
4055,7185
55502,7090
55502,7088
3280,7088
3280,55502
3265,5876
55334,9217
3238,3820
323,81890
323,57120
323,351
323,334
323,333
323,3312
3225,3416
3214,6050
7174,83988
7174,79930
7174,79169
3205,9903
3205,7205
4695,81889
4695,79927
4695,54539
4695,51079
4695,4731
4695,4726
4695,4718
4695,4709
4695,4704
4695,4701
404734,8822
404734,4100
8825,978
32,58526
319101,83481
319101,79095
3191,80742
3191,5939
3191,54502
3190,80742
3188,92667
3188,8985
3188,83892
3188,55352
3188,5352
3188,5351
3187,8985
3187,5351
3185,84904
64753,9859
64753,9648
64753,8924
64753,8655
64753,84461
64753,83992
317762,84289
317762,64753
317762,5501
317749,9581
317671,9391
54849,5536
317,54849
493856,79065
493856,55847
3162,80313
3162,7368
5096,56922
5096,54988
3142,7090
3125,5611
3125,5140
3125,478
3125,3309
8034,84709
54947,9308
54947,84866
54947,765
54947,5727
54947,55630
79022,916
79022,910
6768,6901
57674,958
57674,93377
57674,7379
54982,84709
54982,55554
3105,3135
3104,6175
58526,7069
3101,80201
3098,3101
3094,729238
3093,50626
3091,6759
30844,81559
30844,64145
30837,9616
30837,8065
30819,88455
30819,80333
30819,30820
30817,976
30815,821
30815,80279
3077,9427
3077,92370
3077,6484
3077,3107
3073,3074
3069,79726
3069,5055
3069,3312
84312,90316
84312,8819
79685,90316
79595,90316
79595,8819
64426,90316
64426,8819
5926,90316
5926,8819
5926,5931
5926,5928
57649,5931
57649,5928
57649,57798
57504,85509
57504,8099
57504,64919
57504,5931
57504,5928
53615,8099
53615,64919
53615,5931
53615,5928
53615,57473
53615,57459
53615,57167
53615,54815
51742,90316
51742,8819
51742,619279
51742,5931
51742,5928
51742,58516
3064,8263
3052,84269
3052,7039
3052,55750
3052,54205
3052,51343
3046,54902
3043,54902
3043,3312
55211,6317
3034,55211
54931,60528
64802,79661
6231,8575
6231,79727
302,6281
3017,8575
