@id,n,r,id_type,gene_id,NCBI_id
2184,GEMIN2,uniprot:O14893,uniprot,O14893,8487
2185,UBR1,uniprot:Q8IWV7,uniprot,Q8IWV7,197131
2186,ABLIM1,uniprot:O14639-6,uniprot,O14639-6,uniprot_O14639-6
2187,GSDMD,uniprot:P57764,uniprot,P57764,79792
2188,FKBP1A,uniprot:P62942,uniprot,P62942,2280
2189,LARP4B,uniprot:Q92615,uniprot,Q92615,23185
2190,DYM,uniprot:Q7RTS9,uniprot,Q7RTS9,54808
2191,CLPTM1L,uniprot:Q96KA5-2,uniprot,Q96KA5-2,uniprot_Q96KA5-2
2192,UIMC1,uniprot:Q96RL1,uniprot,Q96RL1,51720
2193,WRNIP1,uniprot:Q96S55-2,uniprot,Q96S55-2,uniprot_Q96S55-2
2194,METTL16,uniprot:Q86W50,uniprot,Q86W50,79066
2195,WDR33,uniprot:Q9C0J8,uniprot,Q9C0J8,55339
2196,COMMD4,uniprot:Q9H0A8,uniprot,Q9H0A8,54939
2197,SMG9,uniprot:Q9H0W8,uniprot,Q9H0W8,56006
2198,RAB3GAP2,uniprot:Q9H2M9,uniprot,Q9H2M9,25782
2199,VPS4B,uniprot:O75351,uniprot,O75351,9525
2200,LUZP1,uniprot:Q86V48,uniprot,Q86V48,7798
2201,GFM1,uniprot:Q96RP9,uniprot,Q96RP9,85476
2202,ARFGAP3,uniprot:Q9NP61,uniprot,Q9NP61,26286
2203,TCAF2,uniprot:A6NFQ2,uniprot,A6NFQ2,285966
2204,ABCF3,uniprot:Q9NUQ8,uniprot,Q9NUQ8,55324
2205,GMIP,uniprot:Q9P107,uniprot,Q9P107,51291
2206,TRIP12,uniprot:Q14669-3,uniprot,Q14669-3,uniprot_Q14669-3
2207,SRRM2,uniprot:Q9UQ35,uniprot,Q9UQ35,23524
2208,AAR2,uniprot:Q9Y312,uniprot,Q9Y312,25980
2209,RNF114,uniprot:Q9Y508,uniprot,Q9Y508,55905
2210,CBS,uniprot:P35520,uniprot,P35520,102724560
2211,NOL10,uniprot:Q9BSC4,uniprot,Q9BSC4,79954
2212,LRRC8A,uniprot:Q8IWT6,uniprot,Q8IWT6,56262
2213,OGT,uniprot:O15294,uniprot,O15294,8473
2214,CYCS,uniprot:P99999,uniprot,P99999,54205
2215,FAM160A1,uniprot:Q05DH4,uniprot,Q05DH4,729830
2216,CTU2,uniprot:Q2VPK5,uniprot,Q2VPK5,348180
2217,UBE3A,uniprot:Q05086-3,uniprot,Q05086-3,uniprot_Q05086-3
2218,CCDC25,uniprot:Q86WR0,uniprot,Q86WR0,55246
2219,ZSWIM9,uniprot:Q86XI8,uniprot,Q86XI8,374920
2220,RELA,uniprot:Q04206,uniprot,Q04206,5970
2221,PPP6R3,uniprot:Q5H9R7-6,uniprot,Q5H9R7-6,uniprot_Q5H9R7-6
2222,DDX51,uniprot:Q8N8A6,uniprot,Q8N8A6,317781
2223,GEMIN6,uniprot:Q8WXD5,uniprot,Q8WXD5,79833
2224,LZIC,uniprot:Q8WZA0-2,uniprot,Q8WZA0-2,uniprot_Q8WZA0-2
2225,YIPF5,uniprot:Q969M3,uniprot,Q969M3,81555
2226,PPWD1,uniprot:Q96BP3,uniprot,Q96BP3,23398
2227,POLDIP3,uniprot:Q9BY77,uniprot,Q9BY77,84271
2228,METTL14,uniprot:Q9HCE5,uniprot,Q9HCE5,57721
2229,CMC2,uniprot:Q9NRP2,uniprot,Q9NRP2,56942
2230,AGO1,uniprot:Q9UL18,uniprot,Q9UL18,26523
2231,RHOG,uniprot:P84095,uniprot,P84095,391
2232,TRAPPC2L,uniprot:Q9UL33-2,uniprot,Q9UL33-2,uniprot_Q9UL33-2
2233,MRPL40,uniprot:Q9NQ50,uniprot,Q9NQ50,64976
2234,FDXR,uniprot:P22570-7,uniprot,P22570-7,uniprot_P22570-7
2235,UBXN1,uniprot:Q04323,uniprot,Q04323,51035
2236,STRN,uniprot:O43815,uniprot,O43815,6801
2237,ASS1,uniprot:P00966,uniprot,P00966,445
2238,PHGDH,uniprot:O43175,uniprot,O43175,26227
2239,HMGCL,uniprot:P35914,uniprot,P35914,3155
2240,GDI2,uniprot:P50395,uniprot,P50395,2665
2241,YKT6,uniprot:O15498,uniprot,O15498,10652
2242,SRPRA,uniprot:P08240,uniprot,P08240,6734
2243,ACTR1B,uniprot:P42025,uniprot,P42025,10120
2244,CLUH,uniprot:O75153,uniprot,O75153,23277
2245,ACSF3,uniprot:Q4G176,uniprot,Q4G176,197322
2246,FECH,uniprot:P22830,uniprot,P22830,2235
2247,MAPRE1,uniprot:Q15691,uniprot,Q15691,22919
2248,HAUS6,uniprot:Q7Z4H7,uniprot,Q7Z4H7,54801
2249,CARM1,uniprot:Q86X55-1,uniprot,Q86X55-1,uniprot_Q86X55-1
2250,ABI1,uniprot:Q8IZP0-10,uniprot,Q8IZP0-10,uniprot_Q8IZP0-10
2251,RALB,uniprot:P11234,uniprot,P11234,5899
2252,FLAD1,uniprot:Q8NFF5-2,uniprot,Q8NFF5-2,uniprot_Q8NFF5-2
2253,BLOC1S5,uniprot:Q8TDH9,uniprot,Q8TDH9,63915
2254,OVCA2,uniprot:Q8WZ82,uniprot,Q8WZ82,124641
2255,GGH,uniprot:Q92820,uniprot,Q92820,8836
2256,PPP1R14B,uniprot:Q96C90,uniprot,Q96C90,26472
2257,SIPA1,uniprot:Q96FS4,uniprot,Q96FS4,6494
2258,MED18,uniprot:Q9BUE0,uniprot,Q9BUE0,54797
2259,DPH1,uniprot:Q9BZG8,uniprot,Q9BZG8,1801
2260,PPA2,uniprot:Q9H2U2,uniprot,Q9H2U2,27068
2261,SP110,uniprot:Q9HB58-7,uniprot,Q9HB58-7,uniprot_Q9HB58-7
2262,ISYNA1,uniprot:Q9NPH2-2,uniprot,Q9NPH2-2,uniprot_Q9NPH2-2
2263,ATG3,uniprot:Q9NT62,uniprot,Q9NT62,64422
2264,TMOD3,uniprot:Q9NYL9,uniprot,Q9NYL9,29766
2265,STARD7,uniprot:Q9NQZ5,uniprot,Q9NQZ5,56910
2266,ASH2L,uniprot:Q9UBL3,uniprot,Q9UBL3,9070
2267,LYPLAL1,uniprot:Q5VWZ2,uniprot,Q5VWZ2,127018
2268,BCS1L,uniprot:Q9Y276,uniprot,Q9Y276,617
2269,MRPS36,uniprot:P82909,uniprot,P82909,92259
2270,RSL1D1,uniprot:O76021,uniprot,O76021,26156
2271,NENF,uniprot:Q9UMX5,uniprot,Q9UMX5,29937
2272,CCS,uniprot:O14618,uniprot,O14618,9973
2273,PLPBP,uniprot:O94903,uniprot,O94903,11212
2274,SART1,uniprot:O43290,uniprot,O43290,9092
2275,SRM,uniprot:P19623,uniprot,P19623,6723
2276,RABGGTB,uniprot:P53611,uniprot,P53611,5876
2277,RHOA,uniprot:P61586,uniprot,P61586,387
2278,PAFAH1B2,uniprot:P68402,uniprot,P68402,5049
2279,PDAP1,uniprot:Q13442,uniprot,Q13442,11333
2280,TMEM97,uniprot:Q5BJF2,uniprot,Q5BJF2,27346
2281,STRIP1,uniprot:Q5VSL9,uniprot,Q5VSL9,85369
2282,SRCAP,uniprot:Q6ZRS2-2,uniprot,Q6ZRS2-2,uniprot_Q6ZRS2-2
