@id,n,r,id_type,gene_id,NCBI_id
10442,OR2M5,uniprot:A3KFT3,uniprot,A3KFT3,127059
10443,OR2M2,uniprot:Q96R28,uniprot,Q96R28,391194
10444,OR9G1,uniprot:Q8NH87,uniprot,Q8NH87,390174
10445,OR51L1,uniprot:Q8NGJ5,uniprot,Q8NGJ5,119682
10446,OR4A5,uniprot:Q8NH83,uniprot,Q8NH83,81318
10447,OR1J1,uniprot:Q8NGS3,uniprot,Q8NGS3,347168
10448,OR8H1,uniprot:Q8NGG4,uniprot,Q8NGG4,219469
10449,OR8B4,uniprot:Q96RC9,uniprot,Q96RC9,283162
10450,OR13G1,uniprot:Q8NGZ3,uniprot,Q8NGZ3,441933
10451,OR52H1,uniprot:Q8NGJ2,uniprot,Q8NGJ2,390067
10452,OR8U1,uniprot:Q8NH10,uniprot,Q8NH10,219417
10453,OR13C9,uniprot:Q8NGT0,uniprot,Q8NGT0,286362
10454,OR51A7,uniprot:Q8NH64,uniprot,Q8NH64,119687
10455,OR12D3,uniprot:Q9UGF7,uniprot,Q9UGF7,81797
10456,OR2F2,uniprot:O95006,uniprot,O95006,135948
10457,OR6Q1,uniprot:Q8NGQ2,uniprot,Q8NGQ2,219952
10458,OR5K4,uniprot:A6NMS3,uniprot,A6NMS3,403278
10459,OR5H6,uniprot:Q8NGV6,uniprot,Q8NGV6,79295
10460,OR52J3,uniprot:Q8NH60,uniprot,Q8NH60,119679
10461,OR5D14,uniprot:Q8NGL3,uniprot,Q8NGL3,219436
10462,OR10A6,uniprot:Q8NH74,uniprot,Q8NH74,390093
10463,OR4L1,uniprot:Q8NH43,uniprot,Q8NH43,122742
10464,OR6K6,uniprot:Q8NGW6,uniprot,Q8NGW6,128371
10465,OR10A3,uniprot:P58181,uniprot,P58181,26496
10466,OR6N2,uniprot:Q8NGY6,uniprot,Q8NGY6,81442
10467,OR7C1,uniprot:O76099,uniprot,O76099,26664
10468,OR2V1,uniprot:Q8NHB1,uniprot,Q8NHB1,26693
10469,OR1N2,uniprot:Q8NGR9,uniprot,Q8NGR9,138882
10470,OR51I1,uniprot:Q9H343,uniprot,Q9H343,390063
10471,OR51G1,uniprot:Q8NGK1,uniprot,Q8NGK1,79324
10472,OR10H4,uniprot:Q8NGA5,uniprot,Q8NGA5,126541
10473,OR5F1,uniprot:O95221,uniprot,O95221,338674
10474,OR4C6,uniprot:Q8NH72,uniprot,Q8NH72,219432
10475,OR10A7,uniprot:Q8NGE5,uniprot,Q8NGE5,121364
10476,OR4K1,uniprot:Q8NGD4,uniprot,Q8NGD4,79544
