@id,n,NCBI_id
530,COPS4,51138
531,ALG5,29880
532,MED7,9443
533,BLCAP,10904
534,SUB1,10923
535,RAB11A,8766
536,DERL1,79139
537,C11orf58,10944
538,MAP1LC3B,81631
539,OGA,10724
540,TCF7L2,6934
541,TCF7L1,83439
542,DLD,1738
543,DNAJB9,4189
544,C12orf29,91298
545,RFK,55312
546,HAT1,8520
547,C18orf32,497661
548,KDM3B,51780
549,RALB,5899
550,MMUT,4594
551,TMEM126B,55863
552,CCDC47,57003
553,ZNF236,7776
554,AIDA,64853
555,STXBP3,6814
556,PRKAR2B,5577
557,AL136295.5,
558,FECH,2235
559,BET1,10282
560,TMEM14B,81853
561,TMEM14A,28978
562,PSEN2,5664
563,PSEN1,5663
564,DNAJB6,10049
565,ETF1,2107
566,NDFIP1,80762
567,CHPT1,56994
568,TRAPPC11,60684
569,TRAPPC13,80006
570,RAB14,51552
571,THAP1,55145
572,HNRNPA1,3178
573,RAB6A,5870
574,RTCA,8634
575,ACOX1,51
576,STX7,8417
577,SHOC2,8036
578,SGPP1,81537
579,RNF141,50862
580,ATP6V1G1,9550
581,TBCEL,219899
582,GRSF1,2926
583,CAB39,51719
584,PRKN,5071
585,NFYB,4801
586,MEGF9,1955
587,RNF38,152006
588,SMARCA2,6595
589,RNF31,55072
590,IMPACT,55364
591,NPTN,27020
592,GABARAPL2,11345
593,DDHD2,23259
594,MTX2,10651
595,FEM1B,10116
596,ARL6IP5,10550
597,PCMTD2,55251
598,COPA,1314
599,MAT2B,27430
600,MFSD1,64747
601,MOGAT2,80168
602,GLRX,2745
603,VTN,7448
604,CTNNA1,1495
605,VAMP3,9341
606,VAMP4,8674
607,VAMP7,6845
608,WDR47,22911
609,ROCK1,6093
610,CUL4A,8451
611,DCAF6,55827
612,WBP4,11193
613,PCCB,5096
614,NDUFB5,4711
615,FAM3C,10447
616,NARS,4677
617,SLC30A5,64924
618,TOPORS,10210
619,TENT5A,55603
620,CUL9,23113
621,CLINT1,9685
622,PPP3R1,5534
623,KLHDC10,23008
624,SEC62,7095
625,ANKRD46,157567
626,ZNF200,7752
627,CLCN3,1182
628,IDH1,3417
629,SH3GLB1,51100
630,TRIM23,373
631,USP21,27005
632,GHITM,27069
633,PTPN11,5781
634,JKAMP,51528
635,PGGT1B,5229
636,CCDC28A,25901
637,KIN,22944
638,KPNA1,3836
639,COPB1,1315
640,RNF216,54476
641,MED21,9412
642,KAT2B,8850
643,IARS2,55699
644,PPM1B,5495
645,PPM1A,5494
646,CLDND1,56650
647,VPS37A,137492
648,PNPLA7,375775
649,ARMC1,55156
650,UNC50,25972
651,GSPT2,23708
652,GSPT1,2935
653,BECN1,8678
654,RNF144A,9781
655,MAN2A1,4124
656,UBA6,55236
657,UBA7,7318
658,ATG12,9140
659,UBA3,9039
660,RWDD3,25950
661,MRPS27,23107
662,UEVLD,55293
663,VPS26C,10311
664,PHF7,51533
665,BAG2,9532
666,FBXO3,26273
667,RHOT1,55288
668,FBXO8,26269
669,BCAS2,10286
670,CAPN7,23473
671,OPTN,10133
672,SNX13,23161
673,SEC23A,10484
674,ADIPOR1,51094
675,SNX19,399979
676,ERC2,26059
677,BNIP2,663
678,DPM1,8813
679,NDUFA6,4700
680,NDUFA5,4698
681,FBXO43,286151
